region,lat,long,node_id
CA,34.46880142976412,-119.88445868708224,GOLETA_6_N200
CA,36.50885299998702,-121.44685522795734,GONZALES_6_N001
CA,36.50885299998702,-121.44696677204267,GONZALES_6_N003
CA,36.529024,-121.41428766,GONZALES_6_N004
CA,38.226944,-121.84361166,GOOSEHGT_7_GN001
CA,34.8014,-118.81890866,GORMAN_6_N001
CA,35.601596,-119.57965466,GOSELKE_1_N001
CA,34.22145799998786,-118.18701737338756,GOULD_2_N001
CA,34.22145799998786,-118.18712662661245,GOULD_2_N007
CA,38.23108199998597,-121.59029758372996,GRANDIS_1_N004
CA,38.23108199998597,-121.59041241627004,GRANDIS_1_N009
CA,32.804473,-116.9208666,GRANITE_6_N001
CA,32.804472999954854,-116.92075344737826,GRANITE_6_N007
CA,32.80438343993102,-116.9208666,GRANITE_6_N008
CA,32.804472999954854,-116.92096655262179,GRANITE_6_N009
CA,37.67099326174171,-122.16011666,GRANTRK_6_N001
CA,37.67091186911436,-122.16005663166834,GRANT_1_N001
CA,37.67091186911436,-122.16017536833166,GRANT_1_N005
CA,40.10263,-123.79287366,GRBRVLLE_6_N001
CA,36.47999999998696,-119.60994425959106,GRDNEAST_1_N101
CA,36.47999999998696,-119.61005574040898,GRDNEAST_1_N102
CA,36.59,-119.5766,GRDNWEST_1_N001
CA,37.93780399998614,-122.51415869769995,GREENBRE_6_N001
CA,37.93780399998614,-122.51427330230004,GREENBRE_6_N003
CA,39.370564,-121.68791966,GRIDLEY_6_N004
CA,35.27,-118.8766,GRIMWAY_1_N001
CA,39.71617299994167,-121.52095138956399,GRIZZLYG_7_B1
CA,37.871667,-122.272566,GRIZZLY_7_N101
PGE,45.0629,-123.60903266,GRND_LNODEWR2
CA,39.052222,-121.692566,GRNLEAF1_7_N001
CA,39.052778000000004,-121.69583366,GRNLEAF2_7_N001
CA,32.80456256006898,-116.9208666,GRNTHLL_1_N001
CA,36.952139010813255,-121.7601866,GRNVALY_1_N001
CA,36.95205799457908,-121.76012146857029,GRNVALY_1_N011
CA,36.95205799457908,-121.76023853142972,GRNVALY_1_N025
CA,37.003128,-121.53803166,GROYPKR3_7_B1
CA,39.209514,-121.06100466,GRSSVLY_6_N101
CA,40.021612,-121.06553266,GRYSFLT_6_N001
CA,38.786699,-123.52277766,GUALALA_6_N001
CA,37.253223999986524,-121.01302629664289,GUSTINE_6_N001
CA,37.253223999986524,-121.01313970335714,GUSTINE_6_N002
CA,38.012777999986064,-121.76966466178419,GWF#1_7_B1
CA,38.012777999986064,-121.76977933821584,GWF#2_7_B1
CA,38.013889,-121.86055666,GWF#3_7_B1
CA,38.030556,-121.8766,GWF#4_7_N001
CA,38.043333,-121.98722266,GWF#5_7_B1
CA,36.24160599998715,-119.90288548949992,GWFGT2_7_B1
CA,37.72085099998626,-121.48027483412093,GWFTRCY1_7_B1
CA,37.72085099998626,-121.48038916587907,GWFTRCY2_7_B1
CA,38.70981887157317,-122.90795766,GYSRVLLE_6_N001
CA,38.70973806419826,-122.90789721183104,GYSRVLLE_6_N003
CA,38.70973806419826,-122.90801678816895,GYSRVLLE_6_N005
CA,36.94999999998671,-118.99994368080675,HAAS_7_B1
CA,36.94999999998671,-119.00005631919326,HAAS_7_B1
CA,38.90131699998584,-121.08761040262713,HALSEYF_7_B1
CA,38.90131699998584,-121.08772559737288,HALSEYF_7_N001
LADWP,33.84769999998815,-118.30334578612138,HAL_SUB_LNODEON1
